valid_time,sst,number,expver
1940-01-01,286.62054,0,0001
1940-02-01,286.73907,0,0001
1940-03-01,286.7404,0,0001
1940-04-01,286.76028,0,0001
1940-05-01,286.6578,0,0001
1940-06-01,286.5671,0,0001
1940-07-01,286.78577,0,0001
1940-08-01,286.87787,0,0001
1940-09-01,286.7293,0,0001
1940-10-01,286.5238,0,0001
1940-11-01,286.4425,0,0001
1940-12-01,286.48846,0,0001
1941-01-01,286.7121,0,0001
1941-02-01,286.83957,0,0001
1941-03-01,286.7377,0,0001
1941-04-01,286.6803,0,0001
1941-05-01,286.49033,0,0001
1941-06-01,286.5463,0,0001
1941-07-01,286.66177,0,0001
1941-08-01,286.8157,0,0001
1941-09-01,286.69293,0,0001
1941-10-01,286.604,0,0001
1941-11-01,286.4803,0,0001
1941-12-01,286.56433,0,0001
1942-01-01,286.6846,0,0001
1942-02-01,286.78622,0,0001
1942-03-01,286.77957,0,0001
1942-04-01,286.58264,0,0001
1942-05-01,286.52484,0,0001
1942-06-01,286.4708,0,0001
1942-07-01,286.60046,0,0001
1942-08-01,286.7276,0,0001
1942-09-01,286.6304,0,0001
1942-10-01,286.4449,0,0001
1942-11-01,286.30576,0,0001
1942-12-01,286.47052,0,0001
1943-01-01,286.605,0,0001
1943-02-01,286.68,0,0001
1943-03-01,286.56213,0,0001
1943-04-01,286.48215,0,0001
1943-05-01,286.45636,0,0001
1943-06-01,286.4778,0,0001
1943-07-01,286.59518,0,0001
1943-08-01,286.77722,0,0001
1943-09-01,286.65518,0,0001
1943-10-01,286.48148,0,0001
1943-11-01,286.3996,0,0001
1943-12-01,286.45935,0,0001
1944-01-01,286.6248,0,0001
1944-02-01,286.77505,0,0001
1944-03-01,286.80634,0,0001
1944-04-01,286.65598,0,0001
1944-05-01,286.58423,0,0001
1944-06-01,286.52396,0,0001
1944-07-01,286.73206,0,0001
1944-08-01,286.8903,0,0001
1944-09-01,286.83133,0,0001
1944-10-01,286.59903,0,0001
1944-11-01,286.46826,0,0001
1944-12-01,286.49435,0,0001
1945-01-01,286.67792,0,0001
1945-02-01,286.80637,0,0001
1945-03-01,286.71237,0,0001
1945-04-01,286.67545,0,0001
1945-05-01,286.5697,0,0001
1945-06-01,286.55072,0,0001
1945-07-01,286.69403,0,0001
1945-08-01,286.8755,0,0001
1945-09-01,286.7563,0,0001
1945-10-01,286.5595,0,0001
1945-11-01,286.41666,0,0001
1945-12-01,286.51797,0,0001
1946-01-01,286.68335,0,0001
1946-02-01,286.76022,0,0001
1946-03-01,286.71393,0,0001
1946-04-01,286.64337,0,0001
1946-05-01,286.46823,0,0001
1946-06-01,286.45255,0,0001
1946-07-01,286.63013,0,0001
1946-08-01,286.72293,0,0001
1946-09-01,286.73743,0,0001
1946-10-01,286.57864,0,0001
1946-11-01,286.3995,0,0001
1946-12-01,286.48273,0,0001
1947-01-01,286.70654,0,0001
1947-02-01,286.75864,0,0001
1947-03-01,286.71582,0,0001
1947-04-01,286.69467,0,0001
1947-05-01,286.54297,0,0001
1947-06-01,286.57678,0,0001
1947-07-01,286.7275,0,0001
1947-08-01,286.7865,0,0001
1947-09-01,286.63013,0,0001
1947-10-01,286.39948,0,0001
1947-11-01,286.34937,0,0001
1947-12-01,286.38104,0,0001
1948-01-01,286.59732,0,0001
1948-02-01,286.68195,0,0001
1948-03-01,286.6618,0,0001
1948-04-01,286.58667,0,0001
1948-05-01,286.56024,0,0001
1948-06-01,286.5379,0,0001
1948-07-01,286.71237,0,0001
1948-08-01,286.88254,0,0001
1948-09-01,286.6479,0,0001
1948-10-01,286.49384,0,0001
1948-11-01,286.3692,0,0001
1948-12-01,286.45355,0,0001
1949-01-01,286.7185,0,0001
1949-02-01,286.83905,0,0001
1949-03-01,286.6855,0,0001
1949-04-01,286.68744,0,0001
1949-05-01,286.54135,0,0001
1949-06-01,286.49832,0,0001
1949-07-01,286.69073,0,0001
1949-08-01,286.8286,0,0001
1949-09-01,286.6559,0,0001
1949-10-01,286.45193,0,0001
1949-11-01,286.34314,0,0001
1949-12-01,286.41644,0,0001
1950-01-01,286.57867,0,0001
1950-02-01,286.7125,0,0001
1950-03-01,286.66785,0,0001
1950-04-01,286.60645,0,0001
1950-05-01,286.51755,0,0001
1950-06-01,286.47714,0,0001
1950-07-01,286.67017,0,0001
1950-08-01,286.84613,0,0001
1950-09-01,286.71057,0,0001
1950-10-01,286.51883,0,0001
1950-11-01,286.33612,0,0001
1950-12-01,286.42978,0,0001
1951-01-01,286.5994,0,0001
1951-02-01,286.6995,0,0001
1951-03-01,286.6071,0,0001
1951-04-01,286.65823,0,0001
1951-05-01,286.6037,0,0001
1951-06-01,286.6736,0,0001
1951-07-01,286.80585,0,0001
1951-08-01,286.98743,0,0001
1951-09-01,286.79367,0,0001
1951-10-01,286.5882,0,0001
1951-11-01,286.44553,0,0001
1951-12-01,286.49695,0,0001
1952-01-01,286.715,0,0001
1952-02-01,286.86337,0,0001
1952-03-01,286.77914,0,0001
1952-04-01,286.70413,0,0001
1952-05-01,286.6256,0,0001
1952-06-01,286.61493,0,0001
1952-07-01,286.68808,0,0001
1952-08-01,286.8603,0,0001
1952-09-01,286.7152,0,0001
1952-10-01,286.49072,0,0001
1952-11-01,286.41272,0,0001
1952-12-01,286.42795,0,0001
1953-01-01,286.66196,0,0001
1953-02-01,286.78708,0,0001
1953-03-01,286.7403,0,0001
1953-04-01,286.76138,0,0001
1953-05-01,286.6222,0,0001
1953-06-01,286.53772,0,0001
1953-07-01,286.72864,0,0001
1953-08-01,286.87656,0,0001
1953-09-01,286.74866,0,0001
1953-10-01,286.54514,0,0001
1953-11-01,286.378,0,0001
1953-12-01,286.4474,0,0001
1954-01-01,286.63696,0,0001
1954-02-01,286.7457,0,0001
1954-03-01,286.71286,0,0001
1954-04-01,286.58804,0,0001
1954-05-01,286.4634,0,0001
1954-06-01,286.42715,0,0001
1954-07-01,286.58664,0,0001
1954-08-01,286.74243,0,0001
1954-09-01,286.6122,0,0001
1954-10-01,286.34506,0,0001
1954-11-01,286.23477,0,0001
1954-12-01,286.2929,0,0001
1955-01-01,286.53647,0,0001
1955-02-01,286.64325,0,0001
1955-03-01,286.59982,0,0001
1955-04-01,286.51175,0,0001
1955-05-01,286.38104,0,0001
1955-06-01,286.30692,0,0001
1955-07-01,286.6069,0,0001
1955-08-01,286.70554,0,0001
1955-09-01,286.61194,0,0001
1955-10-01,286.31448,0,0001
1955-11-01,286.25262,0,0001
1955-12-01,286.2866,0,0001
1956-01-01,286.50854,0,0001
1956-02-01,286.65375,0,0001
1956-03-01,286.6098,0,0001
1956-04-01,286.52322,0,0001
1956-05-01,286.39194,0,0001
1956-06-01,286.34402,0,0001
1956-07-01,286.5669,0,0001
1956-08-01,286.73495,0,0001
1956-09-01,286.55362,0,0001
1956-10-01,286.388,0,0001
1956-11-01,286.28677,0,0001
1956-12-01,286.38522,0,0001
1957-01-01,286.63104,0,0001
1957-02-01,286.75876,0,0001
1957-03-01,286.75925,0,0001
1957-04-01,286.68604,0,0001
1957-05-01,286.63385,0,0001
1957-06-01,286.59363,0,0001
1957-07-01,286.77353,0,0001
1957-08-01,286.8707,0,0001
1957-09-01,286.7332,0,0001
1957-10-01,286.4982,0,0001
1957-11-01,286.39844,0,0001
1957-12-01,286.4393,0,0001
1958-01-01,286.65225,0,0001
1958-02-01,286.80084,0,0001
1958-03-01,286.77798,0,0001
1958-04-01,286.71976,0,0001
1958-05-01,286.60944,0,0001
1958-06-01,286.63922,0,0001
1958-07-01,286.8001,0,0001
1958-08-01,286.94266,0,0001
1958-09-01,286.78998,0,0001
1958-10-01,286.54208,0,0001
1958-11-01,286.37888,0,0001
1958-12-01,286.44788,0,0001
1959-01-01,286.6818,0,0001
1959-02-01,286.8165,0,0001
1959-03-01,286.7498,0,0001
1959-04-01,286.6397,0,0001
1959-05-01,286.5309,0,0001
1959-06-01,286.51166,0,0001
1959-07-01,286.66614,0,0001
1959-08-01,286.8667,0,0001
1959-09-01,286.72974,0,0001
1959-10-01,286.53378,0,0001
1959-11-01,286.35727,0,0001
1959-12-01,286.44632,0,0001
1960-01-01,286.658,0,0001
1960-02-01,286.75778,0,0001
1960-03-01,286.75723,0,0001
1960-04-01,286.63144,0,0001
1960-05-01,286.56433,0,0001
1960-06-01,286.5334,0,0001
1960-07-01,286.7706,0,0001
1960-08-01,286.89935,0,0001
1960-09-01,286.76517,0,0001
1960-10-01,286.52582,0,0001
1960-11-01,286.42444,0,0001
1960-12-01,286.463,0,0001
1961-01-01,286.67996,0,0001
1961-02-01,286.84998,0,0001
1961-03-01,286.8004,0,0001
1961-04-01,286.71967,0,0001
1961-05-01,286.57562,0,0001
1961-06-01,286.59076,0,0001
1961-07-01,286.81393,0,0001
1961-08-01,286.94012,0,0001
1961-09-01,286.74084,0,0001
1961-10-01,286.51413,0,0001
1961-11-01,286.42212,0,0001
1961-12-01,286.4843,0,0001
1962-01-01,286.63382,0,0001
1962-02-01,286.7544,0,0001
1962-03-01,286.6783,0,0001
1962-04-01,286.6402,0,0001
1962-05-01,286.52948,0,0001
1962-06-01,286.50436,0,0001
1962-07-01,286.7313,0,0001
1962-08-01,286.83786,0,0001
1962-09-01,286.7311,0,0001
1962-10-01,286.49356,0,0001
1962-11-01,286.38654,0,0001
1962-12-01,286.45493,0,0001
1963-01-01,286.61792,0,0001
1963-02-01,286.69543,0,0001
1963-03-01,286.66043,0,0001
1963-04-01,286.6749,0,0001
1963-05-01,286.59448,0,0001
1963-06-01,286.5747,0,0001
1963-07-01,286.8085,0,0001
1963-08-01,286.94543,0,0001
1963-09-01,286.7613,0,0001
1963-10-01,286.55017,0,0001
1963-11-01,286.51236,0,0001
1963-12-01,286.5265,0,0001
1964-01-01,286.70215,0,0001
1964-02-01,286.79333,0,0001
1964-03-01,286.66022,0,0001
1964-04-01,286.5684,0,0001
1964-05-01,286.4845,0,0001
1964-06-01,286.47623,0,0001
1964-07-01,286.66144,0,0001
1964-08-01,286.7623,0,0001
1964-09-01,286.58472,0,0001
1964-10-01,286.33853,0,0001
1964-11-01,286.20288,0,0001
1964-12-01,286.28015,0,0001
1965-01-01,286.5238,0,0001
1965-02-01,286.66672,0,0001
1965-03-01,286.59064,0,0001
1965-04-01,286.619,0,0001
1965-05-01,286.49448,0,0001
1965-06-01,286.45242,0,0001
1965-07-01,286.61838,0,0001
1965-08-01,286.79163,0,0001
1965-09-01,286.72665,0,0001
1965-10-01,286.50247,0,0001
1965-11-01,286.40012,0,0001
1965-12-01,286.4694,0,0001
1966-01-01,286.66245,0,0001
1966-02-01,286.7703,0,0001
1966-03-01,286.71204,0,0001
1966-04-01,286.6556,0,0001
1966-05-01,286.5316,0,0001
1966-06-01,286.5338,0,0001
1966-07-01,286.71964,0,0001
1966-08-01,286.8134,0,0001
1966-09-01,286.68732,0,0001
1966-10-01,286.48123,0,0001
1966-11-01,286.39426,0,0001
1966-12-01,286.46255,0,0001
1967-01-01,286.59946,0,0001
1967-02-01,286.72687,0,0001
1967-03-01,286.71808,0,0001
1967-04-01,286.65857,0,0001
1967-05-01,286.58185,0,0001
1967-06-01,286.57306,0,0001
1967-07-01,286.7135,0,0001
1967-08-01,286.86826,0,0001
1967-09-01,286.73038,0,0001
1967-10-01,286.46252,0,0001
1967-11-01,286.33337,0,0001
1967-12-01,286.38367,0,0001
1968-01-01,286.53574,0,0001
1968-02-01,286.6571,0,0001
1968-03-01,286.562,0,0001
1968-04-01,286.573,0,0001
1968-05-01,286.5111,0,0001
1968-06-01,286.55692,0,0001
1968-07-01,286.7434,0,0001
1968-08-01,286.87845,0,0001
1968-09-01,286.7409,0,0001
1968-10-01,286.52817,0,0001
1968-11-01,286.4044,0,0001
1968-12-01,286.51294,0,0001
1969-01-01,286.78018,0,0001
1969-02-01,286.88498,0,0001
1969-03-01,286.82843,0,0001
1969-04-01,286.76236,0,0001
1969-05-01,286.66003,0,0001
1969-06-01,286.6329,0,0001
1969-07-01,286.7624,0,0001
1969-08-01,286.85507,0,0001
1969-09-01,286.76462,0,0001
1969-10-01,286.50366,0,0001
1969-11-01,286.4275,0,0001
1969-12-01,286.5023,0,0001
1970-01-01,286.6949,0,0001
1970-02-01,286.75412,0,0001
1970-03-01,286.74146,0,0001
1970-04-01,286.6993,0,0001
1970-05-01,286.56348,0,0001
1970-06-01,286.515,0,0001
1970-07-01,286.68964,0,0001
1970-08-01,286.82614,0,0001
1970-09-01,286.6728,0,0001
1970-10-01,286.4859,0,0001
1970-11-01,286.34204,0,0001
1970-12-01,286.41916,0,0001
1971-01-01,286.56696,0,0001
1971-02-01,286.6162,0,0001
1971-03-01,286.58817,0,0001
1971-04-01,286.5119,0,0001
1971-05-01,286.364,0,0001
1971-06-01,286.38922,0,0001
1971-07-01,286.59805,0,0001
1971-08-01,286.71698,0,0001
1971-09-01,286.5854,0,0001
1971-10-01,286.34778,0,0001
1971-11-01,286.27148,0,0001
1971-12-01,286.32172,0,0001
1972-01-01,286.62274,0,0001
1972-02-01,286.7372,0,0001
1972-03-01,286.69077,0,0001
1972-04-01,286.694,0,0001
1972-05-01,286.56903,0,0001
1972-06-01,286.62497,0,0001
1972-07-01,286.80725,0,0001
1972-08-01,286.9113,0,0001
1972-09-01,286.77087,0,0001
1972-10-01,286.56833,0,0001
1972-11-01,286.49716,0,0001
1972-12-01,286.61716,0,0001
1973-01-01,286.77258,0,0001
1973-02-01,286.8815,0,0001
1973-03-01,286.8008,0,0001
1973-04-01,286.67426,0,0001
1973-05-01,286.55682,0,0001
1973-06-01,286.566,0,0001
1973-07-01,286.77505,0,0001
1973-08-01,286.8629,0,0001
1973-09-01,286.72858,0,0001
1973-10-01,286.46588,0,0001
1973-11-01,286.34344,0,0001
1973-12-01,286.3539,0,0001
1974-01-01,286.54462,0,0001
1974-02-01,286.6897,0,0001
1974-03-01,286.62436,0,0001
1974-04-01,286.56097,0,0001
1974-05-01,286.47952,0,0001
1974-06-01,286.44495,0,0001
