valid_time,fal,number,expver
1940-01-01,0.2933738,0,0001
1940-02-01,0.29163677,0,0001
1940-03-01,0.29057756,0,0001
1940-04-01,0.2957746,0,0001
1940-05-01,0.2856473,0,0001
1940-06-01,0.263739,0,0001
1940-07-01,0.25192705,0,0001
1940-08-01,0.25280377,0,0001
1940-09-01,0.27109382,0,0001
1940-10-01,0.28804025,0,0001
1940-11-01,0.29958123,0,0001
1940-12-01,0.2945961,0,0001
1941-01-01,0.29168326,0,0001
1941-02-01,0.28949466,0,0001
1941-03-01,0.28805554,0,0001
1941-04-01,0.29598215,0,0001
1941-05-01,0.28615305,0,0001
1941-06-01,0.26281363,0,0001
1941-07-01,0.25129375,0,0001
1941-08-01,0.25223148,0,0001
1941-09-01,0.27215472,0,0001
1941-10-01,0.29028657,0,0001
1941-11-01,0.30104908,0,0001
1941-12-01,0.29606384,0,0001
1942-01-01,0.29241127,0,0001
1942-02-01,0.291077,0,0001
1942-03-01,0.28972918,0,0001
1942-04-01,0.29579026,0,0001
1942-05-01,0.28522086,0,0001
1942-06-01,0.2625993,0,0001
1942-07-01,0.25090584,0,0001
1942-08-01,0.2516788,0,0001
1942-09-01,0.26998904,0,0001
1942-10-01,0.28691283,0,0001
1942-11-01,0.29999888,0,0001
1942-12-01,0.2954371,0,0001
1943-01-01,0.29184103,0,0001
1943-02-01,0.29001766,0,0001
1943-03-01,0.28864756,0,0001
1943-04-01,0.29316643,0,0001
1943-05-01,0.28277597,0,0001
1943-06-01,0.26222906,0,0001
1943-07-01,0.25021055,0,0001
1943-08-01,0.25126037,0,0001
1943-09-01,0.2694719,0,0001
1943-10-01,0.28600803,0,0001
1943-11-01,0.2984105,0,0001
1943-12-01,0.29430285,0,0001
1944-01-01,0.28972453,0,0001
1944-02-01,0.28963086,0,0001
1944-03-01,0.28791693,0,0001
1944-04-01,0.2938687,0,0001
1944-05-01,0.2842613,0,0001
1944-06-01,0.2622348,0,0001
1944-07-01,0.24990147,0,0001
