valid_time,vit,number,expver
1940-01-01,2434053.8,0,0001
1940-02-01,2432309.8,0,0001
1940-03-01,2428613.0,0,0001
1940-04-01,2432184.5,0,0001
1940-05-01,2442807.0,0,0001
1940-06-01,2446418.0,0,0001
1940-07-01,2453042.0,0,0001
1940-08-01,2447337.0,0,0001
1940-09-01,2438328.2,0,0001
1940-10-01,2427514.2,0,0001
1940-11-01,2426173.5,0,0001
1940-12-01,2430122.5,0,0001
1941-01-01,2429586.2,0,0001
1941-02-01,2435528.8,0,0001
1941-03-01,2435623.2,0,0001
1941-04-01,2433700.2,0,0001
1941-05-01,2440840.2,0,0001
1941-06-01,2446853.8,0,0001
1941-07-01,2453012.2,0,0001
1941-08-01,2446065.2,0,0001
1941-09-01,2428889.8,0,0001
1941-10-01,2429946.0,0,0001
1941-11-01,2430972.8,0,0001
1941-12-01,2428481.5,0,0001
1942-01-01,2433242.2,0,0001
1942-02-01,2431926.8,0,0001
1942-03-01,2426850.0,0,0001
1942-04-01,2431490.0,0,0001
1942-05-01,2439940.2,0,0001
1942-06-01,2446236.2,0,0001
1942-07-01,2451321.2,0,0001
1942-08-01,2444844.2,0,0001
1942-09-01,2433879.0,0,0001
1942-10-01,2430714.2,0,0001
1942-11-01,2423499.0,0,0001
1942-12-01,2422683.0,0,0001
1943-01-01,2428084.5,0,0001
1943-02-01,2425054.5,0,0001
1943-03-01,2423713.0,0,0001
1943-04-01,2425891.8,0,0001
1943-05-01,2436286.5,0,0001
1943-06-01,2448581.2,0,0001
1943-07-01,2448083.0,0,0001
1943-08-01,2450734.2,0,0001
1943-09-01,2440510.5,0,0001
1943-10-01,2431869.0,0,0001
1943-11-01,2431779.8,0,0001
1943-12-01,2430646.0,0,0001
1944-01-01,2431732.8,0,0001
1944-02-01,2434040.8,0,0001
1944-03-01,2436297.2,0,0001
1944-04-01,2438614.5,0,0001
1944-05-01,2446163.2,0,0001
1944-06-01,2455386.8,0,0001
1944-07-01,2457677.8,0,0001
1944-08-01,2451073.8,0,0001
1944-09-01,2447139.2,0,0001
1944-10-01,2433204.2,0,0001
1944-11-01,2430152.5,0,0001
1944-12-01,2433153.5,0,0001
1945-01-01,2438584.2,0,0001
1945-02-01,2432621.5,0,0001
1945-03-01,2432620.2,0,0001
1945-04-01,2436579.8,0,0001
1945-05-01,2438907.8,0,0001
1945-06-01,2451517.5,0,0001
1945-07-01,2450066.8,0,0001
1945-08-01,2451245.5,0,0001
1945-09-01,2442642.8,0,0001
1945-10-01,2437179.8,0,0001
1945-11-01,2434548.8,0,0001
1945-12-01,2432447.8,0,0001
1946-01-01,2436008.0,0,0001
1946-02-01,2436303.8,0,0001
1946-03-01,2436496.5,0,0001
1946-04-01,2436571.5,0,0001
1946-05-01,2442441.8,0,0001
1946-06-01,2449338.2,0,0001
1946-07-01,2448739.2,0,0001
1946-08-01,2445143.8,0,0001
1946-09-01,2442146.0,0,0001
1946-10-01,2426453.0,0,0001
1946-11-01,2430515.8,0,0001
1946-12-01,2430974.2,0,0001
1947-01-01,2437012.0,0,0001
1947-02-01,2440235.2,0,0001
1947-03-01,2434982.0,0,0001
1947-04-01,2436867.5,0,0001
1947-05-01,2444148.2,0,0001
1947-06-01,2454540.8,0,0001
1947-07-01,2452397.0,0,0001
1947-08-01,2449561.0,0,0001
1947-09-01,2442350.2,0,0001
1947-10-01,2435935.5,0,0001
1947-11-01,2439267.5,0,0001
1947-12-01,2436307.8,0,0001
1948-01-01,2433476.2,0,0001
1948-02-01,2429015.8,0,0001
1948-03-01,2429670.5,0,0001
1948-04-01,2438371.2,0,0001
1948-05-01,2446928.5,0,0001
1948-06-01,2452429.5,0,0001
1948-07-01,2455080.8,0,0001
1948-08-01,2452164.0,0,0001
1948-09-01,2439628.2,0,0001
1948-10-01,2439170.2,0,0001
1948-11-01,2436567.2,0,0001
1948-12-01,2430442.2,0,0001
1949-01-01,2432052.2,0,0001
1949-02-01,2435240.2,0,0001
1949-03-01,2434650.2,0,0001
1949-04-01,2435675.5,0,0001
1949-05-01,2450595.8,0,0001
1949-06-01,2454113.2,0,0001
1949-07-01,2458827.0,0,0001
1949-08-01,2444603.5,0,0001
1949-09-01,2444791.0,0,0001
1949-10-01,2438043.2,0,0001
1949-11-01,2442117.2,0,0001
1949-12-01,2443736.8,0,0001
1950-01-01,2438918.5,0,0001
1950-02-01,2431575.2,0,0001
1950-03-01,2435037.5,0,0001
1950-04-01,2439702.5,0,0001
1950-05-01,2444830.8,0,0001
1950-06-01,2451486.8,0,0001
1950-07-01,2455326.5,0,0001
1950-08-01,2446121.5,0,0001
